Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
283769,Lightning Charging Cable,1,14.95,12/22/21 00:24,"421 Ridge St, Los Angeles, CA 90001"
283770,ThinkPad Laptop,1,999.99,12/25/21 05:56,"880 South St, Dallas, TX 75001"
283771,Flatscreen TV,1,300.0,12/26/21 21:41,"327 Willow St, Boston, MA 02215"
283772,Lightning Charging Cable,1,14.95,12/04/21 16:20,"905 Forest St, Dallas, TX 75001"
283773,27in 4K Gaming Monitor,1,389.99,12/30/21 14:00,"856 5th St, Austin, TX 73301"
283774,Apple Airpods Headphones,1,150.0,12/19/21 11:59,"259 2nd St, Dallas, TX 75001"
283775,Apple Airpods Headphones,1,150.0,12/29/21 17:40,"557 Maple St, Atlanta, GA 30301"
283776,Bose SoundSport Headphones,1,99.99,12/16/21 11:57,"945 Main St, San Francisco, CA 94016"
283777,Apple Airpods Headphones,1,150.0,12/30/21 20:10,"943 Willow St, Dallas, TX 75001"
283778,Apple Airpods Headphones,1,150.0,12/28/21 20:10,"971 Lake St, New York City, NY 10001"
283779,Apple Airpods Headphones,1,150.0,12/19/21 10:01,"596 Forest St, Los Angeles, CA 90001"
283780,AA Batteries (4-pack),1,3.84,12/21/21 21:36,"556 Main St, Atlanta, GA 30301"
283781,AAA Batteries (4-pack),3,2.99,12/29/21 18:30,"860 4th St, San Francisco, CA 94016"
283782,Apple Airpods Headphones,1,150.0,12/19/21 12:11,"886 North St, Dallas, TX 75001"
283783,AA Batteries (4-pack),1,3.84,12/22/21 04:37,"463 Park St, Dallas, TX 75001"
283784,iPhone,1,700.0,12/06/21 14:22,"64 1st St, Dallas, TX 75001"
283785,AAA Batteries (4-pack),1,2.99,12/02/21 21:01,"410 9th St, New York City, NY 10001"
283786,AAA Batteries (4-pack),2,2.99,12/21/21 07:09,"43 Washington St, Portland, OR 97035"
283787,Wired Headphones,1,11.99,12/26/21 17:04,"586 West St, Seattle, WA 98101"
283788,Wired Headphones,1,11.99,12/28/21 17:52,"911 6th St, New York City, NY 10001"
283789,Wired Headphones,1,11.99,12/18/21 13:55,"733 Jackson St, Boston, MA 02215"
283790,Apple Airpods Headphones,1,150.0,12/29/21 19:35,"672 Jackson St, Seattle, WA 98101"
283791,Lightning Charging Cable,1,14.95,12/06/21 17:56,"933 Willow St, Los Angeles, CA 90001"
283792,Bose SoundSport Headphones,1,99.99,12/10/21 20:27,"512 14th St, Portland, OR 97035"
283793,AA Batteries (4-pack),1,3.84,12/07/21 08:40,"258 1st St, Los Angeles, CA 90001"
283794,Wired Headphones,1,11.99,12/23/21 21:59,"701 Walnut St, Boston, MA 02215"
283795,AA Batteries (4-pack),2,3.84,12/08/21 08:58,"327 Center St, San Francisco, CA 94016"
283796,27in 4K Gaming Monitor,1,389.99,12/23/21 23:17,"836 1st St, Austin, TX 73301"
283797,Wired Headphones,2,11.99,12/13/21 15:28,"951 Walnut St, New York City, NY 10001"
283798,Bose SoundSport Headphones,1,99.99,12/26/21 15:20,"772 River St, Los Angeles, CA 90001"
283799,USB-C Charging Cable,1,11.95,12/29/21 05:39,"359 9th St, San Francisco, CA 94016"
283800,USB-C Charging Cable,1,11.95,12/13/21 04:34,"194 Jackson St, Portland, OR 97035"
283801,USB-C Charging Cable,1,11.95,12/20/21 11:13,"102 Spruce St, Boston, MA 02215"
283802,Lightning Charging Cable,2,14.95,12/04/21 14:54,"365 1st St, Boston, MA 02215"
283803,Wired Headphones,1,11.99,12/10/21 00:20,"289 Adams St, Boston, MA 02215"
283804,Bose SoundSport Headphones,1,99.99,12/14/21 11:28,"909 8th St, Dallas, TX 75001"
283805,Google Phone,1,600.0,12/04/21 18:03,"943 14th St, San Francisco, CA 94016"
283806,Apple Airpods Headphones,1,150.0,12/08/21 11:42,"535 North St, San Francisco, CA 94016"
283807,34in Ultrawide Monitor,1,379.99,12/31/21 22:40,"325 5th St, San Francisco, CA 94016"
283808,AAA Batteries (4-pack),1,2.99,12/25/21 18:11,"202 12th St, San Francisco, CA 94016"
283809,AAA Batteries (4-pack),1,2.99,12/29/21 21:42,"809 Cherry St, Los Angeles, CA 90001"
283810,Wired Headphones,1,11.99,12/17/21 11:06,"142 Forest St, Boston, MA 02215"
283811,Wired Headphones,2,11.99,12/30/21 21:39,"58 5th St, San Francisco, CA 94016"
283811,Lightning Charging Cable,1,14.95,12/30/21 21:39,"58 5th St, San Francisco, CA 94016"
283812,27in 4K Gaming Monitor,1,389.99,12/02/21 23:24,"907 Ridge St, San Francisco, CA 94016"
283813,27in 4K Gaming Monitor,1,389.99,12/18/21 11:42,"198 6th St, Portland, OR 97035"
283814,Lightning Charging Cable,1,14.95,12/27/21 00:51,"698 Lakeview St, San Francisco, CA 94016"
283815,27in FHD Monitor,1,149.99,12/10/21 17:58,"86 1st St, Boston, MA 02215"
283816,Wired Headphones,1,11.99,12/29/21 21:02,"246 Park St, New York City, NY 10001"
283817,Wired Headphones,1,11.99,12/14/21 05:13,"321 Johnson St, San Francisco, CA 94016"
283818,AA Batteries (4-pack),1,3.84,12/08/21 06:35,"370 Lakeview St, Dallas, TX 75001"
283819,Bose SoundSport Headphones,1,99.99,12/05/21 14:03,"906 Jackson St, Los Angeles, CA 90001"
283820,AA Batteries (4-pack),1,3.84,12/29/21 19:30,"517 Maple St, Dallas, TX 75001"
283821,ThinkPad Laptop,1,999.99,12/07/21 14:41,"656 Meadow St, Seattle, WA 98101"
283822,Google Phone,1,600.0,12/22/21 21:16,"95 Elm St, Dallas, TX 75001"
283823,Lightning Charging Cable,1,14.95,12/09/21 20:22,"751 Johnson St, Austin, TX 73301"
283824,Macbook Pro Laptop,1,1700.0,12/19/21 14:35,"524 Spruce St, San Francisco, CA 94016"
283825,Wired Headphones,1,11.99,12/01/21 13:07,"331 Lake St, Boston, MA 02215"
283826,34in Ultrawide Monitor,1,379.99,12/20/21 08:10,"301 Maple St, Atlanta, GA 30301"
283827,Lightning Charging Cable,1,14.95,12/17/21 14:04,"643 Sunset St, Boston, MA 02215"
283828,Lightning Charging Cable,1,14.95,12/23/21 12:20,"54 Lincoln St, Dallas, TX 75001"
283829,AA Batteries (4-pack),1,3.84,12/25/21 20:25,"278 Cherry St, San Francisco, CA 94016"
283830,AAA Batteries (4-pack),3,2.99,12/02/21 19:51,"116 Center St, San Francisco, CA 94016"
283831,Bose SoundSport Headphones,1,99.99,12/24/21 21:45,"388 Willow St, Dallas, TX 75001"
283832,Apple Airpods Headphones,1,150.0,12/11/21 00:10,"323 Center St, San Francisco, CA 94016"
283833,USB-C Charging Cable,1,11.95,12/31/21 19:27,"104 Lincoln St, New York City, NY 10001"
283834,iPhone,1,700.0,12/16/21 11:56,"798 Sunset St, Los Angeles, CA 90001"
283835,Wired Headphones,1,11.99,12/11/21 07:45,"241 13th St, Portland, OR 97035"
283836,USB-C Charging Cable,1,11.95,12/21/21 01:28,"31 4th St, Los Angeles, CA 90001"
283837,Macbook Pro Laptop,1,1700.0,12/13/21 18:09,"179 Madison St, Portland, OR 97035"
283838,USB-C Charging Cable,1,11.95,12/23/21 22:58,"688 Pine St, New York City, NY 10001"
283838,USB-C Charging Cable,2,11.95,12/23/21 22:58,"688 Pine St, New York City, NY 10001"
283839,LG Washing Machine,1,600.0,12/20/21 09:47,"331 Lincoln St, Seattle, WA 98101"
283840,Lightning Charging Cable,1,14.95,12/10/21 10:51,"494 1st St, Seattle, WA 98101"
283840,USB-C Charging Cable,1,11.95,12/10/21 10:51,"494 1st St, Seattle, WA 98101"
283841,Wired Headphones,1,11.99,12/08/21 22:44,"731 11th St, San Francisco, CA 94016"
283842,AA Batteries (4-pack),1,3.84,12/28/21 11:49,"833 Chestnut St, San Francisco, CA 94016"
283843,Wired Headphones,1,11.99,12/12/21 05:17,"177 Walnut St, San Francisco, CA 94016"
283844,Apple Airpods Headphones,1,150.0,12/27/21 18:13,"216 Main St, San Francisco, CA 94016"
283845,Lightning Charging Cable,1,14.95,12/15/21 22:37,"711 12th St, New York City, NY 10001"
283846,27in FHD Monitor,1,149.99,12/21/21 22:58,"905 Pine St, Los Angeles, CA 90001"
283847,USB-C Charging Cable,1,11.95,12/17/21 16:58,"445 Cherry St, New York City, NY 10001"
283848,AAA Batteries (4-pack),1,2.99,12/05/21 11:17,"73 Chestnut St, Los Angeles, CA 90001"
283849,AAA Batteries (4-pack),1,2.99,12/03/21 14:54,"565 Lincoln St, Los Angeles, CA 90001"
283850,USB-C Charging Cable,1,11.95,12/03/21 18:50,"43 Church St, Boston, MA 02215"
283851,AAA Batteries (4-pack),3,2.99,12/23/21 12:22,"200 Wilson St, Boston, MA 02215"
283852,AA Batteries (4-pack),2,3.84,12/30/21 21:40,"964 Dogwood St, San Francisco, CA 94016"
283853,34in Ultrawide Monitor,1,379.99,12/08/21 18:10,"402 Maple St, Los Angeles, CA 90001"
283854,27in 4K Gaming Monitor,1,389.99,12/24/21 19:38,"608 10th St, New York City, NY 10001"
283855,Apple Airpods Headphones,1,150.0,12/02/21 09:28,"833 Lincoln St, San Francisco, CA 94016"
283856,AAA Batteries (4-pack),2,2.99,12/22/21 10:52,"581 14th St, Seattle, WA 98101"
283857,Google Phone,1,600.0,12/17/21 00:05,"311 North St, New York City, NY 10001"
283857,Wired Headphones,1,11.99,12/17/21 00:05,"311 North St, New York City, NY 10001"
283858,Vareebadd Phone,1,400.0,12/07/21 11:54,"608 Park St, New York City, NY 10001"
283859,Bose SoundSport Headphones,1,99.99,12/23/21 19:03,"620 Willow St, Austin, TX 73301"
283860,Wired Headphones,1,11.99,12/03/21 14:55,"78 Wilson St, San Francisco, CA 94016"
283861,AAA Batteries (4-pack),1,2.99,12/20/21 20:23,"24 Pine St, Boston, MA 02215"
283862,AAA Batteries (4-pack),3,2.99,12/15/21 14:56,"287 Hill St, Seattle, WA 98101"
283863,Flatscreen TV,1,300.0,12/24/21 23:55,"269 Lakeview St, Portland, OR 97035"
283864,Apple Airpods Headphones,1,150.0,12/27/21 09:44,"610 1st St, New York City, NY 10001"
283865,Wired Headphones,1,11.99,12/24/21 12:07,"418 Sunset St, San Francisco, CA 94016"
283866,Google Phone,1,600.0,12/08/21 16:55,"652 Jackson St, Boston, MA 02215"
283867,Apple Airpods Headphones,1,150.0,12/26/21 15:18,"506 Willow St, Seattle, WA 98101"
283868,Apple Airpods Headphones,1,150.0,12/30/21 11:55,"870 Washington St, Dallas, TX 75001"
