Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
158520,27in FHD Monitor,1,149.99,02/25/20 09:30,"813 North St, Boston, MA 02215"
158521,Google Phone,1,600.0,02/12/20 06:19,"574 1st St, San Francisco, CA 94016"
158522,USB-C Charging Cable,1,11.95,02/04/20 17:36,"589 6th St, Los Angeles, CA 90001"
158523,AA Batteries (4-pack),1,3.84,02/06/20 19:28,"235 Highland St, Boston, MA 02215"
158524,Wired Headphones,1,11.99,02/07/20 06:48,"882 Walnut St, San Francisco, CA 94016"
158525,34in Ultrawide Monitor,1,379.99,02/04/20 16:20,"497 10th St, San Francisco, CA 94016"
158526,Apple Airpods Headphones,1,150.0,02/24/20 17:14,"447 7th St, San Francisco, CA 94016"
158527,27in FHD Monitor,1,149.99,02/16/20 12:28,"917 Washington St, Atlanta, GA 30301"
158528,Macbook Pro Laptop,1,1700.0,02/02/20 12:24,"792 Madison St, New York City, NY 10001"
158529,AAA Batteries (4-pack),1,2.99,02/07/20 19:19,"555 Dogwood St, Portland, ME 04101"
158530,AAA Batteries (4-pack),1,2.99,02/15/20 13:03,"444 Washington St, San Francisco, CA 94016"
158531,AAA Batteries (4-pack),3,2.99,02/13/20 16:55,"511 West St, Portland, OR 97035"
158532,AA Batteries (4-pack),2,3.84,02/11/20 05:47,"150 Jefferson St, Boston, MA 02215"
158533,34in Ultrawide Monitor,1,379.99,02/24/20 19:48,"922 Jackson St, Boston, MA 02215"
158534,Apple Airpods Headphones,1,150.0,02/24/20 13:10,"402 River St, San Francisco, CA 94016"
158535,27in 4K Gaming Monitor,1,389.99,02/08/20 15:37,"429 5th St, Seattle, WA 98101"
158536,Lightning Charging Cable,1,14.95,02/04/20 21:03,"261 Dogwood St, San Francisco, CA 94016"
158537,AAA Batteries (4-pack),2,2.99,02/23/20 22:04,"948 10th St, San Francisco, CA 94016"
158538,34in Ultrawide Monitor,1,379.99,02/04/20 22:42,"604 10th St, New York City, NY 10001"
158539,Wired Headphones,1,11.99,02/11/20 20:41,"815 Highland St, Boston, MA 02215"
