Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
213719,AAA Batteries (4-pack),1,2.99,07/20/20 21:55,"107 Elm St, San Francisco, CA 94016"
213720,USB-C Charging Cable,1,11.95,07/21/20 14:58,"688 Wilson St, Austin, TX 73301"
213721,20in Monitor,1,109.99,07/06/20 00:05,"875 Chestnut St, New York City, NY 10001"
213722,ThinkPad Laptop,1,999.99,07/11/20 21:36,"620 Church St, Portland, ME 04101"
213723,20in Monitor,1,109.99,07/28/20 11:36,"553 1st St, Boston, MA 02215"
213724,LG Washing Machine,1,600.0,07/29/20 13:49,"781 Lincoln St, Atlanta, GA 30301"
213725,AAA Batteries (4-pack),1,2.99,07/30/20 21:13,"228 13th St, Boston, MA 02215"
213726,AA Batteries (4-pack),1,3.84,07/11/20 19:14,"308 Lake St, Los Angeles, CA 90001"
213727,Lightning Charging Cable,1,14.95,07/29/20 19:43,"516 13th St, Boston, MA 02215"
213728,LG Washing Machine,1,600.0,07/31/20 00:20,"744 Jefferson St, Atlanta, GA 30301"
213729,USB-C Charging Cable,2,11.95,07/17/20 12:57,"257 10th St, Boston, MA 02215"
213730,iPhone,1,700.0,07/18/20 17:54,"134 7th St, Los Angeles, CA 90001"
213731,Lightning Charging Cable,1,14.95,07/22/20 09:18,"773 Lakeview St, Atlanta, GA 30301"
213732,Wired Headphones,1,11.99,07/28/20 14:50,"975 North St, Atlanta, GA 30301"
213733,27in 4K Gaming Monitor,1,389.99,07/12/20 19:24,"893 Hill St, Boston, MA 02215"
213734,AAA Batteries (4-pack),2,2.99,07/27/20 21:05,"895 Main St, Boston, MA 02215"
213735,Bose SoundSport Headphones,1,99.99,07/04/20 19:39,"319 Main St, Dallas, TX 75001"
213736,Apple Airpods Headphones,1,150.0,07/08/20 10:23,"136 Jackson St, Boston, MA 02215"
213737,USB-C Charging Cable,1,11.95,07/21/20 00:32,"78 Lakeview St, Los Angeles, CA 90001"
213738,Lightning Charging Cable,1,14.95,07/26/20 21:21,"656 Park St, San Francisco, CA 94016"
213739,Wired Headphones,1,11.99,07/06/20 15:01,"6 North St, San Francisco, CA 94016"
213740,AAA Batteries (4-pack),3,2.99,07/18/20 09:16,"763 Cedar St, San Francisco, CA 94016"
213741,ThinkPad Laptop,1,999.99,07/24/20 22:13,"574 4th St, San Francisco, CA 94016"
213742,Bose SoundSport Headphones,1,99.99,07/04/20 11:41,"97 Johnson St, Los Angeles, CA 90001"
213743,AA Batteries (4-pack),2,3.84,07/26/20 16:36,"820 Pine St, San Francisco, CA 94016"
213744,AA Batteries (4-pack),2,3.84,07/10/20 19:54,"969 Hill St, Boston, MA 02215"
213745,Google Phone,1,600.0,07/03/20 13:35,"751 Forest St, New York City, NY 10001"
213746,Bose SoundSport Headphones,1,99.99,07/06/20 09:50,"995 Jackson St, New York City, NY 10001"
213747,AA Batteries (4-pack),1,3.84,07/18/20 17:49,"354 Cherry St, Dallas, TX 75001"
213748,Wired Headphones,1,11.99,07/12/20 21:58,"732 Highland St, New York City, NY 10001"
213749,iPhone,1,700.0,07/05/20 11:13,"574 Main St, San Francisco, CA 94016"
213749,Lightning Charging Cable,1,14.95,07/05/20 11:13,"574 Main St, San Francisco, CA 94016"
213749,Apple Airpods Headphones,1,150.0,07/05/20 11:13,"574 Main St, San Francisco, CA 94016"
213750,USB-C Charging Cable,1,11.95,07/24/20 01:07,"385 Lincoln St, Portland, OR 97035"
213751,27in 4K Gaming Monitor,1,389.99,07/28/20 16:09,"750 8th St, Los Angeles, CA 90001"
213752,Lightning Charging Cable,1,14.95,07/29/20 13:02,"166 6th St, Los Angeles, CA 90001"
213753,Lightning Charging Cable,1,14.95,07/14/20 09:49,"778 Madison St, Atlanta, GA 30301"
213754,USB-C Charging Cable,1,11.95,07/10/20 18:34,"74 14th St, Los Angeles, CA 90001"
213755,Macbook Pro Laptop,1,1700.0,07/08/20 20:32,"935 Lakeview St, Dallas, TX 75001"
213756,Apple Airpods Headphones,1,150.0,07/16/20 02:57,"401 Jackson St, Los Angeles, CA 90001"
213757,LG Dryer,1,600.0,07/07/20 09:55,"134 Maple St, Portland, OR 97035"
213758,Bose SoundSport Headphones,1,99.99,07/31/20 21:24,"467 5th St, Atlanta, GA 30301"
213759,34in Ultrawide Monitor,1,379.99,07/05/20 18:21,"553 Hickory St, Boston, MA 02215"
213760,34in Ultrawide Monitor,1,379.99,07/12/20 07:59,"346 Jackson St, Boston, MA 02215"
213761,USB-C Charging Cable,1,11.95,07/08/20 12:08,"810 Willow St, Dallas, TX 75001"
213762,AAA Batteries (4-pack),3,2.99,07/06/20 17:37,"990 Willow St, Dallas, TX 75001"
213763,Wired Headphones,1,11.99,07/06/20 13:35,"631 13th St, Dallas, TX 75001"
213764,Bose SoundSport Headphones,1,99.99,07/30/20 16:42,"38 Dogwood St, Portland, OR 97035"
213765,Lightning Charging Cable,1,14.95,07/23/20 20:41,"453 5th St, Seattle, WA 98101"
213766,AAA Batteries (4-pack),2,2.99,07/10/20 10:45,"794 10th St, Boston, MA 02215"
213767,27in FHD Monitor,1,149.99,07/14/20 13:14,"30 Forest St, Atlanta, GA 30301"
213768,Apple Airpods Headphones,1,150.0,07/09/20 16:07,"764 Adams St, San Francisco, CA 94016"
213769,Lightning Charging Cable,1,14.95,07/29/20 14:36,"726 Forest St, Boston, MA 02215"
213770,AAA Batteries (4-pack),3,2.99,07/24/20 13:35,"549 Ridge St, Atlanta, GA 30301"
213771,AA Batteries (4-pack),1,3.84,07/24/20 17:50,"633 Sunset St, Seattle, WA 98101"
213772,Wired Headphones,1,11.99,07/28/20 18:06,"340 5th St, San Francisco, CA 94016"
213773,Bose SoundSport Headphones,1,99.99,07/17/20 16:16,"444 Lakeview St, Austin, TX 73301"
213774,Apple Airpods Headphones,1,150.0,07/10/20 15:38,"868 River St, Austin, TX 73301"
213775,Wired Headphones,1,11.99,07/07/20 09:14,"44 13th St, Austin, TX 73301"
213776,AA Batteries (4-pack),1,3.84,07/01/20 09:53,"863 Sunset St, San Francisco, CA 94016"
213777,Lightning Charging Cable,1,14.95,07/30/20 16:53,"108 South St, Austin, TX 73301"
213778,AAA Batteries (4-pack),3,2.99,07/18/20 15:56,"38 Elm St, Los Angeles, CA 90001"
213779,Flatscreen TV,1,300.0,07/07/20 13:52,"538 Lincoln St, Dallas, TX 75001"
213780,AA Batteries (4-pack),1,3.84,07/26/20 13:28,"683 Jackson St, Boston, MA 02215"
213781,27in FHD Monitor,1,149.99,07/24/20 13:17,"604 Elm St, New York City, NY 10001"
213782,Bose SoundSport Headphones,1,99.99,07/26/20 13:36,"493 Madison St, Seattle, WA 98101"
213783,iPhone,1,700.0,07/08/20 13:25,"542 Center St, Seattle, WA 98101"
213783,Lightning Charging Cable,2,14.95,07/08/20 13:25,"542 Center St, Seattle, WA 98101"
213784,iPhone,1,700.0,07/13/20 19:30,"248 Cedar St, New York City, NY 10001"
213785,AAA Batteries (4-pack),1,2.99,07/20/20 14:06,"852 South St, Los Angeles, CA 90001"
