Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
199605,AAA Batteries (4-pack),2,2.99,06/12/20 14:24,"821 Cherry St, Seattle, WA 98101"
199606,Google Phone,1,600.0,06/23/20 21:08,"331 Forest St, Boston, MA 02215"
199606,USB-C Charging Cable,1,11.95,06/23/20 21:08,"331 Forest St, Boston, MA 02215"
199607,USB-C Charging Cable,1,11.95,06/02/20 18:17,"698 Meadow St, Portland, OR 97035"
199608,27in 4K Gaming Monitor,1,389.99,06/28/20 10:42,"3 Jefferson St, Dallas, TX 75001"
199609,AA Batteries (4-pack),1,3.84,06/25/20 16:51,"116 5th St, Los Angeles, CA 90001"
199610,Apple Airpods Headphones,1,150.0,06/03/20 08:13,"211 Lakeview St, Seattle, WA 98101"
199611,USB-C Charging Cable,3,11.95,06/21/20 14:31,"654 Highland St, Portland, OR 97035"
199612,Macbook Pro Laptop,1,1700.0,06/23/20 13:10,"704 1st St, Dallas, TX 75001"
199613,Lightning Charging Cable,1,14.95,06/16/20 12:44,"889 11th St, Los Angeles, CA 90001"
199614,Flatscreen TV,1,300.0,06/30/20 09:43,"75 1st St, Boston, MA 02215"
199615,USB-C Charging Cable,1,11.95,06/05/20 03:40,"483 10th St, Portland, OR 97035"
199616,AAA Batteries (4-pack),1,2.99,06/13/20 20:12,"430 Cherry St, Seattle, WA 98101"
199617,Wired Headphones,1,11.99,06/16/20 19:28,"208 Jackson St, Seattle, WA 98101"
199618,Lightning Charging Cable,1,14.95,06/13/20 15:37,"812 Cherry St, New York City, NY 10001"
199619,AA Batteries (4-pack),1,3.84,06/21/20 00:53,"682 Lincoln St, San Francisco, CA 94016"
199620,Wired Headphones,1,11.99,06/23/20 11:32,"895 Lakeview St, San Francisco, CA 94016"
199621,USB-C Charging Cable,1,11.95,06/15/20 11:25,"290 Highland St, Los Angeles, CA 90001"
199622,AAA Batteries (4-pack),3,2.99,06/14/20 16:15,"792 5th St, San Francisco, CA 94016"
199623,27in FHD Monitor,1,149.99,06/24/20 18:27,"860 Forest St, New York City, NY 10001"
199624,AA Batteries (4-pack),1,3.84,06/21/20 20:29,"159 7th St, Atlanta, GA 30301"
199625,USB-C Charging Cable,2,11.95,06/18/20 20:41,"640 6th St, Boston, MA 02215"
199626,USB-C Charging Cable,1,11.95,06/23/20 15:53,"669 Pine St, San Francisco, CA 94016"
199627,USB-C Charging Cable,1,11.95,06/19/20 17:37,"660 Meadow St, New York City, NY 10001"
199628,AA Batteries (4-pack),1,3.84,06/13/20 20:22,"189 8th St, San Francisco, CA 94016"
199629,USB-C Charging Cable,1,11.95,06/11/20 21:17,"795 River St, San Francisco, CA 94016"
199630,Bose SoundSport Headphones,1,99.99,06/13/20 11:46,"574 11th St, Atlanta, GA 30301"
199631,Lightning Charging Cable,1,14.95,06/10/20 18:13,"239 Chestnut St, Portland, ME 04101"
199632,Wired Headphones,1,11.99,06/21/20 16:56,"543 9th St, Atlanta, GA 30301"
199633,Lightning Charging Cable,1,14.95,06/10/20 10:21,"211 West St, Los Angeles, CA 90001"
199634,USB-C Charging Cable,1,11.95,06/12/20 18:24,"183 14th St, Austin, TX 73301"
199635,Macbook Pro Laptop,1,1700.0,06/02/20 09:16,"602 Jackson St, Dallas, TX 75001"
199636,Lightning Charging Cable,1,14.95,06/11/20 01:56,"765 1st St, Los Angeles, CA 90001"
199637,Wired Headphones,1,11.99,06/16/20 13:10,"466 6th St, Atlanta, GA 30301"
