Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
186179,Wired Headphones,1,11.99,06/01/21 00:48,"143 Lakeview St, Seattle, WA 98101"
186180,34in Ultrawide Monitor,1,379.99,05/04/21 14:35,"420 West St, San Francisco, CA 94016"
186181,Wired Headphones,2,11.99,05/13/21 07:42,"994 11th St, Boston, MA 02215"
186182,AAA Batteries (4-pack),1,2.99,05/20/21 14:47,"573 Wilson St, Los Angeles, CA 90001"
186183,AA Batteries (4-pack),2,3.84,05/05/21 09:07,"5 Lake St, Los Angeles, CA 90001"
186184,USB-C Charging Cable,2,11.95,05/11/21 19:39,"506 Washington St, San Francisco, CA 94016"
,,,,,
186185,Google Phone,1,600,05/07/21 11:07,"182 Pine St, Seattle, WA 98101"
186186,Lightning Charging Cable,1,14.95,05/09/21 08:14,"367 Cherry St, San Francisco, CA 94016"
186187,27in FHD Monitor,1,149.99,05/28/21 22:40,"759 Willow St, Dallas, TX 75001"
186188,Macbook Pro Laptop,1,1700,05/17/21 15:04,"134 Center St, Seattle, WA 98101"
186189,Vareebadd Phone,1,400,05/09/21 14:14,"745 4th St, Austin, TX 73301"
186190,Lightning Charging Cable,1,14.95,05/28/21 22:27,"379 Jefferson St, Dallas, TX 75001"
186191,AAA Batteries (4-pack),2,2.99,05/24/21 12:14,"39 Walnut St, San Francisco, CA 94016"
186192,Apple Airpods Headphones,1,150,05/21/21 20:17,"863 Cedar St, Dallas, TX 75001"
186193,Vareebadd Phone,1,400,05/19/21 19:50,"114 Lincoln St, Boston, MA 02215"
186194,Lightning Charging Cable,1,14.95,05/14/21 22:27,"24 5th St, Atlanta, GA 30301"
186195,USB-C Charging Cable,1,11.95,05/20/21 16:51,"836 Madison St, San Francisco, CA 94016"
186196,Flatscreen TV,1,300,05/12/21 11:05,"422 Ridge St, New York City, NY 10001"
186197,Macbook Pro Laptop,1,1700,05/03/21 08:04,"988 8th St, San Francisco, CA 94016"
186198,AA Batteries (4-pack),1,3.84,05/19/21 12:16,"464 Meadow St, Boston, MA 02215"
186199,iPhone,1,700,05/21/21 10:35,"133 10th St, San Francisco, CA 94016"
186199,Lightning Charging Cable,1,14.95,05/21/21 10:35,"133 10th St, San Francisco, CA 94016"
186200,AAA Batteries (4-pack),2,2.99,05/11/21 11:58,"771 Madison St, San Francisco, CA 94016"
186201,iPhone,1,700,05/14/21 14:23,"106 Chestnut St, Los Angeles, CA 90001"
186201,Wired Headphones,1,11.99,05/14/21 14:23,"106 Chestnut St, Los Angeles, CA 90001"
186202,27in FHD Monitor,1,149.99,05/29/21 10:56,"716 Park St, New York City, NY 10001"
186203,USB-C Charging Cable,1,11.95,05/10/21 08:53,"843 Lakeview St, San Francisco, CA 94016"
186204,34in Ultrawide Monitor,1,379.99,05/13/21 20:35,"450 Lake St, Los Angeles, CA 90001"
186205,Macbook Pro Laptop,1,1700,05/12/21 09:07,"760 Willow St, New York City, NY 10001"
186206,Bose SoundSport Headphones,1,99.99,05/18/21 15:26,"616 Ridge St, New York City, NY 10001"
186207,AAA Batteries (4-pack),1,2.99,05/16/21 12:59,"447 Center St, Los Angeles, CA 90001"
186208,Google Phone,1,600,05/30/21 20:27,"962 Cherry St, Boston, MA 02215"
186208,USB-C Charging Cable,1,11.95,05/30/21 20:27,"962 Cherry St, Boston, MA 02215"
186209,Lightning Charging Cable,1,14.95,05/23/21 10:41,"260 Pine St, New York City, NY 10001"
186210,Flatscreen TV,1,300,05/13/21 23:32,"49 Jackson St, Portland, OR 97035"
186211,34in Ultrawide Monitor,1,379.99,05/01/21 23:50,"193 Cherry St, Portland, OR 97035"
186212,Vareebadd Phone,1,400,05/25/21 17:10,"709 River St, San Francisco, CA 94016"
186212,Wired Headphones,2,11.99,05/25/21 17:10,"709 River St, San Francisco, CA 94016"
186213,Apple Airpods Headphones,1,150,05/11/21 12:36,"89 Church St, New York City, NY 10001"
186214,AA Batteries (4-pack),2,3.84,05/04/21 15:55,"204 7th St, Los Angeles, CA 90001"
186215,USB-C Charging Cable,1,11.95,05/26/21 15:37,"646 Pine St, San Francisco, CA 94016"
186216,Bose SoundSport Headphones,1,99.99,05/28/21 01:23,"81 Cedar St, Los Angeles, CA 90001"
186217,USB-C Charging Cable,1,11.95,05/27/21 06:33,"172 9th St, Dallas, TX 75001"
186218,Apple Airpods Headphones,1,150,05/10/21 08:14,"759 Walnut St, Los Angeles, CA 90001"
186219,AA Batteries (4-pack),2,3.84,05/17/21 21:57,"704 Adams St, Los Angeles, CA 90001"
186220,Google Phone,1,600,05/25/21 20:51,"254 9th St, Austin, TX 73301"
186221,Wired Headphones,1,11.99,05/19/21 21:47,"391 Lake St, Portland, OR 97035"
186222,Apple Airpods Headphones,1,150,05/02/21 09:26,"896 11th St, Los Angeles, CA 90001"
186223,AAA Batteries (4-pack),1,2.99,05/10/21 16:53,"446 Cedar St, San Francisco, CA 94016"
186224,Bose SoundSport Headphones,1,99.99,05/25/21 22:32,"273 2nd St, Dallas, TX 75001"
186225,AAA Batteries (4-pack),2,2.99,05/12/21 13:09,"526 Pine St, New York City, NY 10001"
186226,USB-C Charging Cable,1,11.95,05/06/21 10:50,"931 Spruce St, New York City, NY 10001"
186227,AA Batteries (4-pack),2,3.84,05/19/21 07:49,"133 12th St, Atlanta, GA 30301"
186228,Lightning Charging Cable,1,14.95,05/02/21 19:33,"105 9th St, San Francisco, CA 94016"
186229,34in Ultrawide Monitor,1,379.99,05/04/21 13:28,"612 5th St, Portland, OR 97035"
186230,AA Batteries (4-pack),1,3.84,05/13/21 14:44,"634 Park St, Portland, ME 04101"
186231,ThinkPad Laptop,1,999.99,05/03/21 08:24,"134 Chestnut St, Seattle, WA 98101"
186231,27in 4K Gaming Monitor,1,389.99,05/03/21 08:24,"134 Chestnut St, Seattle, WA 98101"
186232,AA Batteries (4-pack),1,3.84,05/28/21 11:24,"829 Forest St, New York City, NY 10001"
186233,AAA Batteries (4-pack),3,2.99,05/20/21 16:59,"500 12th St, Los Angeles, CA 90001"
186234,Wired Headphones,1,11.99,05/04/21 19:12,"374 2nd St, Portland, OR 97035"
186235,LG Dryer,1,600.0,05/29/21 12:22,"357 Dogwood St, Atlanta, GA 30301"
186236,Lightning Charging Cable,1,14.95,05/16/21 05:59,"728 Church St, Los Angeles, CA 90001"
186237,AA Batteries (4-pack),1,3.84,05/21/21 21:58,"675 Pine St, Portland, OR 97035"
186238,USB-C Charging Cable,1,11.95,05/11/21 18:37,"290 Forest St, New York City, NY 10001"
186239,Wired Headphones,1,11.99,05/12/21 21:30,"588 Sunset St, Boston, MA 02215"
186240,Macbook Pro Laptop,1,1700,05/14/21 12:01,"551 West St, Portland, OR 97035"
186241,AA Batteries (4-pack),1,3.84,05/31/21 15:12,"952 Meadow St, San Francisco, CA 94016"
186242,Wired Headphones,1,11.99,05/06/21 22:40,"160 Park St, Portland, OR 97035"
186243,AAA Batteries (4-pack),1,2.99,05/04/21 21:24,"766 West St, New York City, NY 10001"
186244,Flatscreen TV,1,300,05/20/21 18:13,"833 Adams St, Atlanta, GA 30301"
186245,Google Phone,1,600,05/11/21 11:39,"937 11th St, Austin, TX 73301"
186246,Lightning Charging Cable,1,14.95,05/11/21 15:35,"146 South St, San Francisco, CA 94016"
186247,USB-C Charging Cable,1,11.95,05/27/21 14:16,"888 Willow St, Portland, OR 97035"
186248,USB-C Charging Cable,1,11.95,05/28/21 13:27,"779 Center St, New York City, NY 10001"
186249,34in Ultrawide Monitor,1,379.99,05/11/21 10:35,"911 Lake St, Boston, MA 02215"
186250,ThinkPad Laptop,1,999.99,05/08/21 14:20,"430 South St, Dallas, TX 75001"
186251,Macbook Pro Laptop,1,1700,05/05/21 10:05,"394 Park St, New York City, NY 10001"
186252,34in Ultrawide Monitor,1,379.99,05/19/21 15:16,"864 Johnson St, San Francisco, CA 94016"
186253,20in Monitor,1,109.99,05/20/21 10:10,"484 Cherry St, Portland, OR 97035"
186254,34in Ultrawide Monitor,1,379.99,05/10/21 21:50,"591 Spruce St, San Francisco, CA 94016"
186255,27in FHD Monitor,1,149.99,05/30/21 23:00,"159 Main St, San Francisco, CA 94016"
186256,iPhone,1,700,05/11/21 13:04,"949 Lakeview St, New York City, NY 10001"
186257,Google Phone,1,600,05/14/21 14:56,"622 Ridge St, Seattle, WA 98101"
186258,Apple Airpods Headphones,1,150,05/13/21 22:15,"226 1st St, Los Angeles, CA 90001"
186259,Wired Headphones,1,11.99,05/20/21 22:10,"954 Chestnut St, New York City, NY 10001"
186260,AAA Batteries (4-pack),1,2.99,05/08/21 18:30,"606 Maple St, Seattle, WA 98101"
186261,Lightning Charging Cable,1,14.95,05/13/21 17:14,"838 Ridge St, Los Angeles, CA 90001"
186262,Lightning Charging Cable,1,14.95,05/19/21 13:54,"966 Elm St, Boston, MA 02215"
186263,27in 4K Gaming Monitor,1,389.99,05/09/21 20:08,"382 Hill St, New York City, NY 10001"
186264,AA Batteries (4-pack),1,3.84,05/20/21 17:23,"320 Wilson St, Portland, OR 97035"
186265,Macbook Pro Laptop,1,1700,05/12/21 17:45,"904 Center St, New York City, NY 10001"
186266,Bose SoundSport Headphones,1,99.99,05/07/21 17:10,"651 West St, Dallas, TX 75001"
186267,Apple Airpods Headphones,1,150,05/23/21 21:22,"43 Jefferson St, Los Angeles, CA 90001"
186268,USB-C Charging Cable,1,11.95,05/31/21 12:17,"778 5th St, Los Angeles, CA 90001"
186269,iPhone,1,700,05/30/21 10:22,"867 4th St, Los Angeles, CA 90001"
186269,Wired Headphones,1,11.99,05/30/21 10:22,"867 4th St, Los Angeles, CA 90001"
186270,AAA Batteries (4-pack),1,2.99,05/23/21 13:22,"913 8th St, San Francisco, CA 94016"
186271,AA Batteries (4-pack),1,3.84,05/08/21 10:06,"960 13th St, Los Angeles, CA 90001"
186272,AAA Batteries (4-pack),2,2.99,06/01/21 00:03,"858 Johnson St, Los Angeles, CA 90001"
186273,27in 4K Gaming Monitor,1,389.99,05/03/21 10:25,"311 10th St, San Francisco, CA 94016"
186274,Wired Headphones,1,11.99,05/23/21 13:32,"976 1st St, New York City, NY 10001"
186275,Wired Headphones,1,11.99,05/09/21 15:08,"247 14th St, Austin, TX 73301"
186276,Wired Headphones,1,11.99,05/27/21 09:19,"334 Spruce St, New York City, NY 10001"
186277,LG Dryer,1,600.0,05/22/21 21:23,"31 Hill St, Los Angeles, CA 90001"
186278,ThinkPad Laptop,1,999.99,05/28/21 09:25,"541 Walnut St, Los Angeles, CA 90001"
186279,27in 4K Gaming Monitor,1,389.99,05/14/21 10:29,"404 Lakeview St, Boston, MA 02215"
186280,34in Ultrawide Monitor,1,379.99,05/16/21 18:43,"510 10th St, Los Angeles, CA 90001"
186281,AA Batteries (4-pack),4,3.84,05/12/21 22:12,"260 River St, New York City, NY 10001"
186282,27in 4K Gaming Monitor,1,389.99,05/12/21 23:08,"917 Ridge St, San Francisco, CA 94016"
186283,Lightning Charging Cable,1,14.95,05/16/21 15:44,"362 Johnson St, Dallas, TX 75001"
186284,27in 4K Gaming Monitor,1,389.99,05/02/21 20:46,"252 Hickory St, Atlanta, GA 30301"
186285,AAA Batteries (4-pack),1,2.99,05/17/21 11:55,"569 Ridge St, Seattle, WA 98101"
186286,Bose SoundSport Headphones,1,99.99,05/23/21 09:19,"61 2nd St, Dallas, TX 75001"
186287,Bose SoundSport Headphones,1,99.99,05/24/21 15:00,"320 4th St, Portland, ME 04101"
186288,USB-C Charging Cable,1,11.95,05/13/21 10:08,"720 Maple St, Seattle, WA 98101"
186289,20in Monitor,1,109.99,05/18/21 11:12,"230 Forest St, San Francisco, CA 94016"
186290,AA Batteries (4-pack),1,3.84,05/17/21 10:10,"41 Park St, New York City, NY 10001"
186291,USB-C Charging Cable,1,11.95,05/13/21 19:00,"472 8th St, Portland, OR 97035"
186292,Flatscreen TV,1,300,05/15/21 15:05,"89 Sunset St, San Francisco, CA 94016"
186293,AAA Batteries (4-pack),1,2.99,05/19/21 20:46,"946 Lakeview St, Los Angeles, CA 90001"
186294,Wired Headphones,1,11.99,05/13/21 12:47,"548 Adams St, San Francisco, CA 94016"
186295,Bose SoundSport Headphones,1,99.99,05/05/21 19:55,"763 River St, Dallas, TX 75001"
186296,Lightning Charging Cable,1,14.95,05/14/21 15:03,"973 North St, Dallas, TX 75001"
186297,AAA Batteries (4-pack),1,2.99,05/26/21 11:52,"135 10th St, San Francisco, CA 94016"
186298,USB-C Charging Cable,1,11.95,05/01/21 12:20,"514 Chestnut St, Austin, TX 73301"
186299,USB-C Charging Cable,1,11.95,05/15/21 08:56,"103 Lakeview St, Boston, MA 02215"
186300,Wired Headphones,1,11.99,05/12/21 11:38,"96 Washington St, Portland, OR 97035"
186301,Wired Headphones,1,11.99,05/16/21 17:40,"117 5th St, Austin, TX 73301"
186302,LG Washing Machine,1,600.0,05/30/21 12:04,"911 Walnut St, Dallas, TX 75001"
186303,Wired Headphones,1,11.99,05/29/21 19:31,"511 Jackson St, Portland, OR 97035"
186304,LG Washing Machine,1,600.0,05/06/21 10:41,"879 Hickory St, Boston, MA 02215"
186305,AAA Batteries (4-pack),1,2.99,05/25/21 14:13,"800 South St, San Francisco, CA 94016"
186306,AAA Batteries (4-pack),1,2.99,05/30/21 19:49,"689 Chestnut St, San Francisco, CA 94016"
186307,Lightning Charging Cable,1,14.95,05/25/21 11:01,"601 13th St, Boston, MA 02215"
186308,iPhone,1,700,05/25/21 15:19,"128 Wilson St, San Francisco, CA 94016"
186308,USB-C Charging Cable,1,11.95,05/25/21 15:19,"128 Wilson St, San Francisco, CA 94016"
186309,Wired Headphones,1,11.99,05/21/21 15:57,"249 Jackson St, San Francisco, CA 94016"
186310,AA Batteries (4-pack),1,3.84,05/05/21 18:56,"689 Meadow St, San Francisco, CA 94016"
186311,27in FHD Monitor,1,149.99,05/22/21 10:11,"884 11th St, New York City, NY 10001"
186312,Lightning Charging Cable,1,14.95,05/17/21 11:06,"819 Lakeview St, Atlanta, GA 30301"
186313,AAA Batteries (4-pack),4,2.99,05/10/21 15:39,"852 12th St, Los Angeles, CA 90001"
186314,USB-C Charging Cable,1,11.95,05/24/21 14:45,"564 South St, Austin, TX 73301"
186315,AAA Batteries (4-pack),2,2.99,05/21/21 18:22,"23 5th St, Seattle, WA 98101"
186316,AA Batteries (4-pack),1,3.84,05/22/21 14:53,"694 Elm St, Atlanta, GA 30301"
186317,20in Monitor,1,109.99,05/14/21 07:44,"512 7th St, Boston, MA 02215"
186318,Wired Headphones,1,11.99,05/30/21 21:10,"641 Park St, Los Angeles, CA 90001"
186319,Lightning Charging Cable,1,14.95,05/18/21 08:39,"93 6th St, Austin, TX 73301"
186320,USB-C Charging Cable,1,11.95,05/24/21 19:59,"208 Park St, Seattle, WA 98101"
186321,Bose SoundSport Headphones,1,99.99,05/29/21 09:56,"962 Church St, Portland, OR 97035"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
186322,27in 4K Gaming Monitor,1,389.99,05/16/21 20:44,"280 Church St, Boston, MA 02215"
186323,Wired Headphones,1,11.99,05/26/21 19:22,"524 14th St, Boston, MA 02215"
186324,Lightning Charging Cable,1,14.95,05/10/21 21:58,"518 Elm St, Atlanta, GA 30301"
