Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
250348,AA Batteries (4-pack),2,3.84,10/05/21 13:26,"349 Hill St, San Francisco, CA 94016"
250349,34in Ultrawide Monitor,1,379.99,10/06/21 11:07,"962 4th St, New York City, NY 10001"
250350,Wired Headphones,1,11.99,10/17/21 14:50,"168 11th St, Boston, MA 02215"
250351,Lightning Charging Cable,1,14.95,10/19/21 09:52,"135 Lake St, San Francisco, CA 94016"
250352,34in Ultrawide Monitor,1,379.99,10/21/21 17:35,"934 West St, San Francisco, CA 94016"
250353,ThinkPad Laptop,1,999.99,10/20/21 16:33,"56 Main St, San Francisco, CA 94016"
250354,AA Batteries (4-pack),3,3.84,10/25/21 11:21,"727 11th St, New York City, NY 10001"
250355,USB-C Charging Cable,3,11.95,10/31/21 11:39,"748 7th St, Los Angeles, CA 90001"
250356,ThinkPad Laptop,1,999.99,10/06/21 18:18,"771 Jefferson St, San Francisco, CA 94016"
250356,Apple Airpods Headphones,1,150.0,10/06/21 18:18,"771 Jefferson St, San Francisco, CA 94016"
250357,Wired Headphones,1,11.99,10/15/21 08:15,"618 Highland St, Dallas, TX 75001"
250358,USB-C Charging Cable,1,11.95,10/28/21 18:52,"611 West St, San Francisco, CA 94016"
250359,20in Monitor,1,109.99,10/23/21 20:35,"413 Hickory St, Austin, TX 73301"
250360,34in Ultrawide Monitor,1,379.99,10/20/21 22:19,"170 Spruce St, San Francisco, CA 94016"
250361,AA Batteries (4-pack),3,3.84,10/22/21 21:26,"933 Church St, Austin, TX 73301"
250362,USB-C Charging Cable,1,11.95,10/08/21 20:54,"519 Spruce St, Boston, MA 02215"
250363,Wired Headphones,1,11.99,10/18/21 14:40,"537 4th St, Los Angeles, CA 90001"
250364,AAA Batteries (4-pack),4,2.99,10/23/21 11:19,"893 Spruce St, Portland, OR 97035"
250365,Bose SoundSport Headphones,1,99.99,10/30/21 00:56,"894 Church St, Seattle, WA 98101"
250366,AAA Batteries (4-pack),1,2.99,10/23/21 04:13,"819 Lakeview St, Austin, TX 73301"
250367,Bose SoundSport Headphones,1,99.99,10/11/21 12:01,"754 Hickory St, Seattle, WA 98101"
250368,USB-C Charging Cable,1,11.95,10/24/21 07:15,"52 13th St, New York City, NY 10001"
250369,34in Ultrawide Monitor,1,379.99,10/15/21 15:00,"315 Ridge St, Los Angeles, CA 90001"
250370,Bose SoundSport Headphones,1,99.99,10/27/21 20:37,"365 Center St, Los Angeles, CA 90001"
250371,Macbook Pro Laptop,1,1700.0,10/24/21 19:38,"19 South St, Austin, TX 73301"
250372,Bose SoundSport Headphones,1,99.99,10/18/21 04:20,"155 6th St, San Francisco, CA 94016"
250373,USB-C Charging Cable,1,11.95,10/02/21 22:15,"279 Lakeview St, Dallas, TX 75001"
250374,ThinkPad Laptop,1,999.99,10/16/21 20:29,"906 Washington St, New York City, NY 10001"
250375,AAA Batteries (4-pack),1,2.99,10/23/21 15:46,"237 Sunset St, Atlanta, GA 30301"
250376,Apple Airpods Headphones,1,150.0,10/17/21 23:12,"4 Hickory St, Atlanta, GA 30301"
250377,Lightning Charging Cable,1,14.95,10/01/21 15:05,"848 2nd St, Atlanta, GA 30301"
250378,iPhone,1,700.0,10/03/21 19:29,"256 9th St, Portland, OR 97035"
250379,Bose SoundSport Headphones,1,99.99,10/23/21 09:08,"704 11th St, San Francisco, CA 94016"
250380,Apple Airpods Headphones,1,150.0,10/28/21 17:25,"836 13th St, San Francisco, CA 94016"
250381,Bose SoundSport Headphones,1,99.99,10/09/21 16:06,"95 Highland St, Atlanta, GA 30301"
250382,USB-C Charging Cable,1,11.95,10/09/21 20:13,"435 Chestnut St, Dallas, TX 75001"
250383,AA Batteries (4-pack),1,3.84,10/30/21 11:10,"58 Lake St, Boston, MA 02215"
250384,USB-C Charging Cable,1,11.95,10/02/21 13:58,"991 Hickory St, Portland, OR 97035"
250385,Lightning Charging Cable,1,14.95,10/18/21 22:33,"290 Elm St, Seattle, WA 98101"
250386,AAA Batteries (4-pack),1,2.99,10/07/21 23:49,"851 Lakeview St, Dallas, TX 75001"
,,,,,
250387,Lightning Charging Cable,1,14.95,10/29/21 12:38,"96 Lake St, Seattle, WA 98101"
250388,Bose SoundSport Headphones,1,99.99,10/13/21 22:36,"297 Main St, San Francisco, CA 94016"
250389,AAA Batteries (4-pack),1,2.99,10/26/21 18:12,"67 West St, Los Angeles, CA 90001"
250390,20in Monitor,1,109.99,10/04/21 22:28,"67 11th St, Los Angeles, CA 90001"
250391,Apple Airpods Headphones,1,150,10/16/21 10:42,"643 7th St, Portland, OR 97035"
250392,AA Batteries (4-pack),1,3.84,10/11/21 15:10,"566 10th St, Boston, MA 02215"
250393,AA Batteries (4-pack),1,3.84,10/27/21 18:29,"31 Church St, Portland, OR 97035"
250394,Apple Airpods Headphones,1,150,10/05/21 22:43,"906 4th St, Seattle, WA 98101"
250395,20in Monitor,1,109.99,10/29/21 14:11,"443 11th St, San Francisco, CA 94016"
250396,Google Phone,1,600,10/11/21 09:15,"980 11th St, Atlanta, GA 30301"
250397,Apple Airpods Headphones,1,150,10/13/21 08:26,"862 Sunset St, Portland, OR 97035"
250398,Bose SoundSport Headphones,1,99.99,10/29/21 11:00,"298 Washington St, Atlanta, GA 30301"
250399,Bose SoundSport Headphones,1,99.99,10/21/21 08:17,"630 Wilson St, Dallas, TX 75001"
250400,USB-C Charging Cable,1,11.95,10/25/21 13:12,"311 Willow St, New York City, NY 10001"
250401,27in 4K Gaming Monitor,1,389.99,10/10/21 09:13,"20 Elm St, San Francisco, CA 94016"
250402,AA Batteries (4-pack),1,3.84,10/27/21 22:06,"751 West St, Dallas, TX 75001"
250403,34in Ultrawide Monitor,1,379.99,10/09/21 01:42,"799 Center St, Atlanta, GA 30301"
250404,27in 4K Gaming Monitor,1,389.99,10/24/21 14:14,"943 Washington St, Dallas, TX 75001"
250405,USB-C Charging Cable,1,11.95,10/01/21 09:32,"784 Lakeview St, Boston, MA 02215"
250406,Apple Airpods Headphones,1,150,10/24/21 00:20,"55 5th St, Boston, MA 02215"
250407,Macbook Pro Laptop,1,1700,10/06/21 16:40,"744 Sunset St, Los Angeles, CA 90001"
250408,27in 4K Gaming Monitor,1,389.99,10/28/21 12:36,"652 South St, New York City, NY 10001"
250409,Flatscreen TV,1,300,10/13/21 13:20,"386 Park St, San Francisco, CA 94016"
250410,ThinkPad Laptop,1,999.99,10/27/21 14:21,"924 Cedar St, Atlanta, GA 30301"
250411,AAA Batteries (4-pack),1,2.99,10/13/21 20:29,"893 14th St, New York City, NY 10001"
250412,Vareebadd Phone,1,400,10/10/21 09:40,"840 11th St, Los Angeles, CA 90001"
250413,ThinkPad Laptop,1,999.99,10/20/21 20:03,"532 Dogwood St, New York City, NY 10001"
250414,Apple Airpods Headphones,1,150,10/10/21 14:00,"48 Meadow St, San Francisco, CA 94016"
250415,USB-C Charging Cable,1,11.95,10/11/21 19:24,"673 Hill St, Austin, TX 73301"
250416,Bose SoundSport Headphones,1,99.99,10/01/21 11:46,"267 Adams St, Austin, TX 73301"
250417,USB-C Charging Cable,1,11.95,10/20/21 18:22,"815 Church St, Austin, TX 73301"
250418,27in 4K Gaming Monitor,1,389.99,10/05/21 11:14,"283 Madison St, Seattle, WA 98101"
250419,Apple Airpods Headphones,1,150,10/07/21 20:07,"462 9th St, Austin, TX 73301"
250420,USB-C Charging Cable,1,11.95,10/26/21 19:59,"714 Lake St, Los Angeles, CA 90001"
250421,AAA Batteries (4-pack),1,2.99,10/19/21 10:22,"58 Meadow St, Portland, OR 97035"
250422,27in FHD Monitor,1,149.99,10/12/21 09:40,"566 Walnut St, San Francisco, CA 94016"
250423,Flatscreen TV,1,300,10/17/21 12:02,"674 Walnut St, Portland, OR 97035"
250424,Macbook Pro Laptop,1,1700,10/23/21 21:26,"520 River St, Boston, MA 02215"
250425,AAA Batteries (4-pack),1,2.99,10/24/21 18:59,"937 2nd St, Los Angeles, CA 90001"
250426,iPhone,1,700,10/02/21 21:10,"645 Willow St, San Francisco, CA 94016"
250426,Wired Headphones,1,11.99,10/02/21 21:10,"645 Willow St, San Francisco, CA 94016"
250427,20in Monitor,1,109.99,10/06/21 22:03,"721 10th St, New York City, NY 10001"
250428,Wired Headphones,2,11.99,10/07/21 19:38,"196 Center St, Los Angeles, CA 90001"
250429,USB-C Charging Cable,1,11.95,10/29/21 14:37,"501 South St, Los Angeles, CA 90001"
250430,AA Batteries (4-pack),1,3.84,10/16/21 15:57,"171 Madison St, Austin, TX 73301"
250431,34in Ultrawide Monitor,1,379.99,10/03/21 10:48,"167 14th St, San Francisco, CA 94016"
250432,iPhone,1,700,10/13/21 18:44,"142 Adams St, Boston, MA 02215"
250433,Lightning Charging Cable,1,14.95,10/11/21 15:02,"387 Cedar St, Austin, TX 73301"
250434,Wired Headphones,1,11.99,10/31/21 15:27,"115 Lincoln St, Boston, MA 02215"
250435,AAA Batteries (4-pack),2,2.99,10/21/21 18:05,"881 South St, San Francisco, CA 94016"
250436,Macbook Pro Laptop,1,1700,10/09/21 17:29,"199 Center St, Seattle, WA 98101"
250437,USB-C Charging Cable,1,11.95,10/25/21 16:36,"285 12th St, New York City, NY 10001"
250438,AAA Batteries (4-pack),1,2.99,10/06/21 14:37,"937 Cherry St, San Francisco, CA 94016"
250439,AA Batteries (4-pack),1,3.84,10/09/21 10:30,"968 Pine St, Los Angeles, CA 90001"
250440,Bose SoundSport Headphones,1,99.99,10/25/21 15:18,"257 Lakeview St, Seattle, WA 98101"
250441,ThinkPad Laptop,1,999.99,10/24/21 16:09,"515 9th St, New York City, NY 10001"
250442,AAA Batteries (4-pack),1,2.99,10/01/21 20:37,"110 11th St, New York City, NY 10001"
250443,Macbook Pro Laptop,1,1700,10/15/21 18:39,"426 5th St, New York City, NY 10001"
250444,AA Batteries (4-pack),1,3.84,10/23/21 12:07,"816 Main St, Dallas, TX 75001"
250445,AA Batteries (4-pack),1,3.84,10/10/21 07:53,"629 Washington St, Los Angeles, CA 90001"
250446,20in Monitor,1,109.99,10/29/21 13:15,"734 Madison St, Seattle, WA 98101"
250447,Lightning Charging Cable,3,14.95,10/10/21 18:57,"894 Highland St, Los Angeles, CA 90001"
250448,Bose SoundSport Headphones,1,99.99,10/07/21 15:39,"310 Highland St, Boston, MA 02215"
250449,Bose SoundSport Headphones,1,99.99,10/14/21 22:17,"106 Dogwood St, San Francisco, CA 94016"
250450,Flatscreen TV,1,300,10/07/21 19:15,"263 Pine St, Los Angeles, CA 90001"
250451,AA Batteries (4-pack),1,3.84,10/31/21 20:52,"335 10th St, San Francisco, CA 94016"
250452,USB-C Charging Cable,1,11.95,10/29/21 15:33,"804 Lakeview St, Los Angeles, CA 90001"
250453,Lightning Charging Cable,1,14.95,10/25/21 09:07,"746 Willow St, Seattle, WA 98101"
250454,34in Ultrawide Monitor,1,379.99,10/27/21 18:43,"741 Lincoln St, Los Angeles, CA 90001"
250455,27in 4K Gaming Monitor,1,389.99,10/20/21 20:09,"164 Elm St, Atlanta, GA 30301"
250456,27in 4K Gaming Monitor,1,389.99,10/07/21 07:53,"360 Lincoln St, New York City, NY 10001"
250457,Wired Headphones,1,11.99,10/20/21 19:07,"219 Lake St, Atlanta, GA 30301"
250458,AA Batteries (4-pack),1,3.84,10/09/21 10:49,"481 8th St, San Francisco, CA 94016"
250459,Bose SoundSport Headphones,1,99.99,10/09/21 15:17,"280 Maple St, Seattle, WA 98101"
250460,iPhone,1,700,10/21/21 23:40,"148 South St, San Francisco, CA 94016"
250461,AAA Batteries (4-pack),1,2.99,10/09/21 05:14,"683 Maple St, San Francisco, CA 94016"
250462,Lightning Charging Cable,2,14.95,10/21/21 14:55,"737 Jackson St, San Francisco, CA 94016"
250463,Bose SoundSport Headphones,1,99.99,10/26/21 09:48,"363 Ridge St, Dallas, TX 75001"
250464,iPhone,1,700,10/22/21 12:50,"13 Main St, New York City, NY 10001"
250465,Apple Airpods Headphones,1,150,10/02/21 14:25,"377 Johnson St, Dallas, TX 75001"
250465,AA Batteries (4-pack),1,3.84,10/02/21 14:25,"377 Johnson St, Dallas, TX 75001"
250466,AA Batteries (4-pack),1,3.84,10/24/21 03:35,"823 Park St, Seattle, WA 98101"
250467,Apple Airpods Headphones,1,150,10/15/21 15:09,"513 1st St, New York City, NY 10001"
250468,Lightning Charging Cable,1,14.95,10/30/21 21:31,"631 Church St, Los Angeles, CA 90001"
250469,27in 4K Gaming Monitor,1,389.99,10/19/21 17:47,"217 Lake St, Austin, TX 73301"
250470,Google Phone,1,600,10/30/21 18:56,"484 1st St, San Francisco, CA 94016"
250470,USB-C Charging Cable,1,11.95,10/30/21 18:56,"484 1st St, San Francisco, CA 94016"
250471,Lightning Charging Cable,1,14.95,10/02/21 17:57,"547 Main St, San Francisco, CA 94016"
250472,AAA Batteries (4-pack),1,2.99,10/26/21 02:03,"202 Forest St, Austin, TX 73301"
250473,Macbook Pro Laptop,1,1700,10/09/21 11:20,"631 Church St, San Francisco, CA 94016"
250474,Lightning Charging Cable,1,14.95,10/31/21 14:32,"316 River St, Seattle, WA 98101"
250475,AA Batteries (4-pack),1,3.84,10/23/21 23:50,"660 Forest St, Atlanta, GA 30301"
250476,Bose SoundSport Headphones,1,99.99,10/10/21 08:55,"563 9th St, Boston, MA 02215"
250477,Wired Headphones,1,11.99,10/15/21 12:02,"989 Johnson St, San Francisco, CA 94016"
250478,27in 4K Gaming Monitor,1,389.99,10/15/21 22:43,"747 Forest St, Los Angeles, CA 90001"
250479,ThinkPad Laptop,1,999.99,10/12/21 10:52,"919 Wilson St, New York City, NY 10001"
250480,AA Batteries (4-pack),2,3.84,10/09/21 18:01,"169 Chestnut St, Boston, MA 02215"
250481,Lightning Charging Cable,2,14.95,10/20/21 21:33,"530 Cherry St, Portland, OR 97035"
250482,Wired Headphones,1,11.99,10/08/21 08:26,"707 Dogwood St, Portland, OR 97035"
250483,Lightning Charging Cable,1,14.95,10/05/21 14:48,"654 13th St, New York City, NY 10001"
250484,AA Batteries (4-pack),1,3.84,10/01/21 09:25,"60 Willow St, Los Angeles, CA 90001"
250485,Lightning Charging Cable,1,14.95,10/06/21 12:21,"317 8th St, Los Angeles, CA 90001"
250486,AAA Batteries (4-pack),1,2.99,10/25/21 08:43,"104 Forest St, Dallas, TX 75001"
250487,Apple Airpods Headphones,1,150,10/17/21 17:46,"969 1st St, Dallas, TX 75001"
250488,Bose SoundSport Headphones,1,99.99,10/01/21 12:56,"491 11th St, Los Angeles, CA 90001"
250489,Wired Headphones,1,11.99,10/27/21 18:23,"716 Adams St, Dallas, TX 75001"
250490,Google Phone,1,600,10/28/21 07:51,"331 2nd St, San Francisco, CA 94016"
250491,Bose SoundSport Headphones,1,99.99,10/25/21 10:41,"90 Main St, San Francisco, CA 94016"
250492,Apple Airpods Headphones,1,150,10/22/21 15:50,"913 5th St, San Francisco, CA 94016"
250493,USB-C Charging Cable,2,11.95,10/12/21 21:17,"923 Lincoln St, Portland, ME 04101"
250494,Apple Airpods Headphones,1,150,10/14/21 09:44,"644 Jackson St, Dallas, TX 75001"
250495,AAA Batteries (4-pack),2,2.99,10/07/21 16:48,"309 Spruce St, New York City, NY 10001"
250496,Wired Headphones,1,11.99,10/15/21 07:39,"939 Cherry St, Los Angeles, CA 90001"
