Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
233976,AA Batteries (4-pack),1,3.84,09/15/21 19:56,"663 Willow St, San Francisco, CA 94016"
233977,Google Phone,1,600.0,09/06/21 08:43,"231 Elm St, San Francisco, CA 94016"
233977,USB-C Charging Cable,1,11.95,09/06/21 08:43,"231 Elm St, San Francisco, CA 94016"
233978,AAA Batteries (4-pack),1,2.99,09/29/21 18:46,"802 Meadow St, Portland, OR 97035"
233979,27in 4K Gaming Monitor,1,389.99,09/05/21 18:17,"995 4th St, Boston, MA 02215"
233980,Flatscreen TV,1,300.0,09/11/21 20:59,"520 Cherry St, Dallas, TX 75001"
233981,AAA Batteries (4-pack),1,2.99,09/17/21 20:49,"450 Walnut St, Dallas, TX 75001"
233982,27in FHD Monitor,1,149.99,09/07/21 08:27,"106 Lakeview St, Austin, TX 73301"
233983,27in FHD Monitor,1,149.99,09/05/21 14:08,"983 7th St, New York City, NY 10001"
233984,Apple Airpods Headphones,1,150.0,09/18/21 18:51,"723 Jefferson St, San Francisco, CA 94016"
233985,Wired Headphones,1,11.99,09/22/21 14:37,"785 Madison St, Dallas, TX 75001"
233985,AA Batteries (4-pack),1,3.84,09/22/21 14:37,"785 Madison St, Dallas, TX 75001"
233986,34in Ultrawide Monitor,1,379.99,09/16/21 06:43,"717 Dogwood St, Austin, TX 73301"
233987,iPhone,1,700.0,09/01/21 21:01,"740 Forest St, Atlanta, GA 30301"
233988,AA Batteries (4-pack),1,3.84,09/20/21 19:59,"709 Park St, Dallas, TX 75001"
233989,iPhone,1,700.0,09/02/21 19:27,"549 9th St, San Francisco, CA 94016"
233989,Wired Headphones,1,11.99,09/02/21 19:27,"549 9th St, San Francisco, CA 94016"
233990,Wired Headphones,1,11.99,09/20/21 12:35,"433 Madison St, Seattle, WA 98101"
233991,Lightning Charging Cable,1,14.95,09/16/21 19:17,"908 Wilson St, Atlanta, GA 30301"
233992,Apple Airpods Headphones,1,150.0,09/08/21 10:34,"922 Meadow St, Atlanta, GA 30301"
233993,Vareebadd Phone,1,400.0,09/12/21 11:53,"862 Wilson St, New York City, NY 10001"
233993,Wired Headphones,1,11.99,09/12/21 11:53,"862 Wilson St, New York City, NY 10001"
233994,Google Phone,1,600.0,09/17/21 01:06,"339 Chestnut St, New York City, NY 10001"
233995,Google Phone,1,600.0,09/30/21 16:42,"940 4th St, Boston, MA 02215"
233996,Wired Headphones,1,11.99,09/17/21 11:35,"506 South St, Atlanta, GA 30301"
233997,Apple Airpods Headphones,1,150.0,09/18/21 14:50,"677 1st St, New York City, NY 10001"
233998,Lightning Charging Cable,1,14.95,09/01/21 13:48,"234 Cedar St, Los Angeles, CA 90001"
233999,AA Batteries (4-pack),1,3.84,09/11/21 09:56,"13 Elm St, Portland, ME 04101"
234000,AA Batteries (4-pack),1,3.84,09/05/21 18:25,"659 Cedar St, Boston, MA 02215"
234001,27in FHD Monitor,1,149.99,09/21/21 07:38,"872 Johnson St, Dallas, TX 75001"
234002,AAA Batteries (4-pack),2,2.99,09/13/21 16:09,"889 Cedar St, Seattle, WA 98101"
234003,AA Batteries (4-pack),1,3.84,09/16/21 19:35,"375 Pine St, Dallas, TX 75001"
234004,AAA Batteries (4-pack),2,2.99,09/24/21 21:38,"363 Hickory St, San Francisco, CA 94016"
234005,AA Batteries (4-pack),1,3.84,09/25/21 12:10,"21 Spruce St, Portland, OR 97035"
234006,USB-C Charging Cable,1,11.95,09/04/21 21:41,"606 Washington St, San Francisco, CA 94016"
234007,USB-C Charging Cable,1,11.95,09/20/21 01:39,"915 River St, New York City, NY 10001"
234008,Google Phone,1,600.0,09/08/21 14:28,"903 Madison St, San Francisco, CA 94016"
